
:diversos
antigo,história,novo,futuro|porvir
protista,protozoários_flagelados,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
protista,protozoários_amebóides,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
protista,algas_vermelhas,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
protista,algas_verdes,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
protista,algas_pardas,animalia,equinodermons|peixeis|cnidários|anfíbios|platelmintos|crustáceos|répteis|aracnídeos|aves|moluscos|insetos|anelídeos|mamíferos
protista,protozoários,fungi,ascomicetos,basidiomicetos
protista,protozoários_flagelados,fungi,ascomicetos,basidiomicetos
protista,protozoários_amebóides,fungi,ascomicetos,basidiomicetos
protista,algas_vermelhas,fungi,ascomicetos,basidiomicetos
protista,algas_verdes,fungi,ascomicetos,basidiomicetos
protista,algas_pardas,fungi,ascomicetos,basidiomicetos
zoologia,animais,botânica,plantas
botânica,plantas,zoologia,animais
agronomia,ciência,agricultura,produção
agricultura_familiar,subsistência,agronegócio,exportação
familiar,subsistência,agronegócio,exportação
agricultura_familiar,subsistência,agronegócio,comércio
familiar,subsistência,agronegócio,comércio
sementes,germina,adubo,fertiliza
pecuária,animais,agricultura,vegetais
agricultura,vegetais,pecuária,animais
paisagismo,estética,agroindústria,transformação
agroindústria,transformação,paisagismo,estética
biodiversidade,equilíbrio,monocultura,desequilíbrio
monocultura,desequilíbrio,biodiversidade,equilíbrio

:saúde
epitelial,proteção,conjuntivo,sustentação
epitelial,proteção,sanguíneo,transporte
epitelial,proteção,nervoso,comunicação
epitelial,proteção,respiratório,respiração
sanguíneo,transporte,respiratório,respiração
sanguíneo,transporte,nervoso,comunicação
sanguíneo,transporte,conjuntivo,sustentação
sanguíneo,transporte,digestório,digestão
linfático,limpeza,digestório,digestão
linfático,limpeza,conjuntivo,sustentação
linfático,limpeza,nervoso,comunicação
linfático,limpeza,respiratório,respiração
respiratório,oxigenação,ósseo,estruturação
respiratório,oxigenação,nervoso,comunicação
respiratório,oxigenação,endócrino,regulação
respiratório,oxigenação,reprodutor,reprodução
ósseo,estrutura,sanguíneo,transporte
muscular,movimento,nervoso,comunicação
digestório,digestão,respiratório,respiração
circulatório,distribuição,linfático,limpeza
respiratório,oxigenação,urinário,excreção
endócrino,regulação,reprodutor,reprodução
endócrino,regular,reprodutor,reproduzir
reprodutor_masculino,espermatozoide,reprodutor_feminino,óvulo
masculino,espermatozoide,feminino,óvulo
reprodutor_feminino,óvulo,reprodutor_masculino,espermatozoide
feminino,óvulo,masculino,espermatozoide
sanguíneo,circulação,endócrino,regulação
citocinas,comunicação,linfoides,imunização
intervenção_profissional,suporte,direitos_humanos,proteção
recuperação,reabilitação,prognóstico,acompanhamento
diagnóstico,tratamento,profilaxia,prevenção
sangramentos,etiologia_das_hemorragias,adaptações_celulares,atrofia|hipertrofia|hiperplasia|metaplasia
sangramento,etiologia_das_hemorragias,adaptações_celulares,atrofia|hipertrofia|hiperplasia|metaplasia
sangramento,etiologia_das_hemorragias,adaptação_celular,atrofia|hipertrofia|hiperplasia|metaplasia
trombose,coágulo,isquemia,lesões_isquêmicas
edema,fluído,trombose,coágulo
isquemia,comprometimento_vascular,necrose,morte_tecidual
isquemia,vascular,necrose,tecidual
isquemia,vaso,necrose,tecido
isquemia,vaso,necrose,tecidos
infarto,comprometimento_vascular,necrose,morte_tecidual
infarto,vascular,necrose,tecidual
infarto,vaso,necrose,tecido
infarto,vasos,necrose,tecidos
cardíaco,coração,cerebral,cérebro
acidente_vascular_cerebral,cérebro,tendinite,tendão|tendões
avc,cérebro,tendinite,tendão|tendões
avc,cérebro,gastrite,estômago
avc,cérebro,pneumonia,pulmão|pulmões
alzheimer,cérebro,tendinite,tendão|tendões
alzheimer,cérebro,gastrite,estômago
alzheimer,cérebro,pneumonia,pulmão|pulmões
tendinite,tendão,avc,cérebro
tendinite,tendão,alzheimer,cérebro
tendinite,tendões,avc,cérebro
tendinite,tendões,alzheimer,cérebro
tendinite,tendão,gastrite,estômago
tendinite,tendões,gastrite,estômago
tendinite,tendões,pneumonia,pulmão|pulmões
gastrite,estômago,avc,cérebro
gastrite,estômago,alzheimer,cérebro
gastrite,estômago,tendinite,tendão|tendões
gastrite,estômago,pneumonia,pulmão|pulmões
pneumonia,pulmão,avc,cérebro
pneumonia,pulmões,avc,cérebro
pneumonia,pulmão,alzheimer,cérebro
pneumonia,pulmões,alzheimer,cérebro
pneumonia,pulmão,gastrite,estômago
pneumonia,pulmões,gastrite,estômago
pneumonia,pulmões,tendinite,tendão|tendões

:conceitos e contra-conceitos ou antônimos
liberdade,opressão,democracia,ditadura|ditaduras|autoritarismo|totalitarismo|nazismo|fascismo|censura|opressão
liberdade,restrição,democracia,ditadura|ditaduras|autoritarismo|totalitarismo|nazismo|fascismo|censura|opressão
liberdade,censura,democracia,ditadura|ditaduras|autoritarismo|totalitarismo|nazismo|fascismo|censura|opressão
liberdade,prisão,democracia,ditadura|ditaduras|autoritarismo|totalitarismo|nazismo|fascismo|censura|opressão
livre,preso,ordem,desordem|caos|incerteza
livre,preso,certeza,incerteza
amor,ódio,respeito,desrespeito
harmonia,desarmonia,certeza,incerteza
ordem,caos,liberar,restringir
livre,preso,justiça,injustiça
beleza,feiura,conhecimento,ignorância
sorte,azar,simples,complexo|difícil|complicado|confuso|incompreensível|duro|enigmático|formal|rebuscado|robusto
respeitar,desrespeitar,falar,calar
riqueza,pobreza,igualdade,desigualdade
riqueza,pobreza,beleza,feiura
falar,calar,dormir,acordar
acordar,dormir,falar,calar
respeitar,desrespeitar,elogiar,xingar|menosprezar
livre,preso,igual,diferente
livre,preso,paz,guerra|conflito|desordem|caos
igualdade,desigualdade,tolerância,intolerância
